so_no,to_store_code,upc,from_store_code,quantity_to_pick
10301025,0,2200855603267,0,0
10301025,0,2200857945501,0,0
10301025,0,2200860683506,0,0
10301025,0,2200860683605,0,0
10301025,0,2200860827245,0,0
10301025,0,2200861437184,0,0
10301025,0,2200862316792,0,0
10301025,0,2200862316808,0,0
10301025,0,2200863232343,0,0
10301025,0,2200863454479,0,0
10301025,0,2200863540127,0,0
10301025,0,2200863601767,0,0
10301025,0,2200863608490,0,0
10301025,0,2200863608506,0,0
10301025,0,2200863863165,0,0
10301025,0,2200863863455,0,0
10301025,0,2200863863486,0,0
10301025,0,2200864021250,0,0
10301025,0,2200864056887,0,0
10301025,0,2200864180148,0,0
10301025,0,2200864180155,0,0
10301025,0,2200864180186,0,0
10301025,0,2200864193940,0,0
10301025,0,2200864275103,0,0
10301025,0,2200864277220,0,0
10301025,0,2200864308122,0,0
10301025,0,2200864311412,0,0
10301025,0,2200864360625,0,0
10301025,0,2200864363442,0,0
10301025,0,2200864382207,0,0
10301025,0,2200864382221,0,0
10301025,0,2200864382252,0,0
10301025,0,2200864387820,0,0
10301025,0,2200864390714,0,0
10301025,0,2200864391520,0,0
10301025,0,2200864450920,0,0
10301025,0,2200864450975,0,0
10301025,0,2200864456083,0,0
10301025,0,2200864628732,0,0
10301025,0,2200864686152,0,0
10301025,0,2200864687623,0,0
10301025,0,2200864695338,0,0
10301025,0,2200864695987,0,0
10301025,0,2200864700445,0,0
10301025,0,2200864700483,0,0
10301025,0,2200864760616,0,0
10301025,0,2200864846365,0,0
10301025,0,2200864846402,0,0
10301025,0,2200864847010,0,0
10301025,0,2200864983251,0,0
10301025,0,2200865089273,0,0
10301025,0,2200865089303,0,0
10301025,0,2200865200197,0,0
225138,0,2200860099253,0,0
225138,0,2200861775965,0,0
226298,0,2200855381837,0,0
226298,0,2200856880360,0,0
226298,0,2200859952057,0,0
226298,0,2200861085187,0,0
226298,0,2200861574131,0,0
226298,0,2200862633974,0,0
226298,0,2200862758134,0,0
226298,0,2200862759032,0,0
226298,0,2200862798642,0,0
226298,0,2200863070433,0,0
226298,0,2200863487477,0,0
226298,0,2200864097859,0,0
229347,0,2200865132795,0,0
229347,0,2200865132801,0,0
229347,0,2200865132818,0,0
229347,0,2200865132825,0,0
229347,0,2200865132832,0,0
236510,884,2200857106452,80011,1
236546,893,2200868290249,80011,1
236546,893,2200868290256,80011,2
236546,893,2200868290287,80011,1
236546,893,2200868290294,80011,2
236592,820,2200868440019,80011,1
236948,884,2200868410074,80011,4
242711,975,2200852819432,80011,3
242711,975,2200852819449,80011,1
242711,975,2200854634651,80011,1
242711,975,2200854653539,80011,1
242711,975,2200854653560,80011,1
242711,975,2200854680832,80011,1
242711,975,2200854680900,80011,1
242711,975,2200855442323,80011,1
242711,975,2200857013132,80011,1
242711,975,2200857127471,80011,1
242711,975,2200859924009,80011,1
242711,975,2200859924030,80011,1
242711,975,2200860085034,80011,1
242711,975,2200860722939,80011,1
242711,975,2200860777830,80011,1
242711,975,2200861443062,80011,1
242711,975,2200861756889,80011,1
242711,975,2200861772834,80011,1
242711,975,2200861773596,80011,1
242711,975,2200862084707,80011,1
242711,975,2200862123666,80011,1
242711,975,2200862875916,80011,1
242711,975,2200862875923,80011,1
242711,975,2200863344367,80011,1
242711,975,2200863344374,80011,1
242711,975,2200864120670,80011,5
242711,975,2200864128805,80011,40
242711,975,2200864128812,80011,20
242711,975,2200864128829,80011,10
242711,975,2200864128836,80011,10
242711,975,2200864996787,80011,2
242711,975,2200864996800,80011,1
243733,893,2200869183151,80011,1
243734,893,2200869813546,80011,1
243734,893,2200869813560,80011,1
243734,893,2200869813577,80011,2
243734,893,2200869813584,80011,3
243734,893,2200869813591,80011,2
243734,893,2200869813607,80011,2
244106,893,2200869377451,80011,2
244106,893,2200869377512,80011,2
244106,893,2200869377536,80011,2
244106,893,2200869377550,80011,3
244106,893,2200869377567,80011,1
244106,893,2200869549605,80011,3
244106,893,2200869549636,80011,2
244106,893,2200869656532,80011,1
244106,893,2200869656556,80011,1
244106,893,2200869678756,80011,2
244106,893,2200869678770,80011,1
244106,893,2200869678787,80011,2
244106,893,2200869678800,80011,2
244106,893,2200869868638,80011,1
244106,893,2200869948996,80011,1
244106,893,2200869949009,80011,1
244106,893,2200869949016,80011,1
244106,893,2200870070358,80011,2
244106,893,2200870070365,80011,1
244106,893,2200870070372,80011,3
244106,893,2200870070396,80011,2
244106,893,2200870070433,80011,2
244106,893,2200870070440,80011,1
244106,893,2200870070471,80011,1
244106,893,2200870070488,80011,1
244106,893,2200870070495,80011,1
244106,893,2200870070563,80011,4
244106,893,2200870070587,80011,1
244106,893,2200870070594,80011,4
244106,893,2200870070600,80011,7
244106,893,2200870070617,80011,6
244106,893,2200870070624,80011,6
244106,893,2200870220500,80011,3
244106,893,2200870220555,80011,4
244106,893,2200870220562,80011,1
244106,893,2200870344619,80011,1
244106,893,2200870344626,80011,1
244106,893,2200870676413,80011,2
244106,893,2200870676420,80011,3
244176,884,2200862125820,80011,1
244176,884,2200862445492,80011,1
244271,8001,2200862877323,80011,2
244271,8001,2200862877330,80011,2
244271,8001,2200862877347,80011,7
244271,8001,2200862877354,80011,2
244271,8001,2200862877361,80011,1
244271,8001,2200862877378,80011,1
244271,8001,2200862877538,80011,5
244271,8001,2200863001789,80011,4
244271,8001,2200863001796,80011,1
244271,8001,2200863001802,80011,4
244271,8001,2200863001819,80011,4
244271,8001,2200863001826,80011,2
244271,8001,2200863035593,80011,8
244271,8001,2200863035609,80011,7
244271,8001,2200863580826,80011,12
244271,8001,2200863580833,80011,8
244271,8001,2200863580840,80011,2
244271,8001,2200863788307,80011,1
244271,8001,2200863788314,80011,1
244271,8001,2200863788321,80011,6
244271,8001,2200863788338,80011,10
244271,8001,2200863788345,80011,1
244271,8001,2200865491953,80011,7
244271,8001,2200865491960,80011,7
244271,8001,2200865492035,80011,5
244271,8001,2200865879362,80011,2
244271,8001,2200865879386,80011,3
244271,8001,2200867330595,80011,3
244271,8001,2200868111797,80011,2
251062,884,2200869137932,80011,1
251062,884,2200869562376,80011,2
251120,884,2200870418174,80011,1
251120,884,2200870648694,80011,1
251120,884,2200870648700,80011,1
251120,884,2200870648717,80011,1
251120,884,2200870648724,80011,1
251120,884,2200870649738,80011,1
251120,884,2200870649790,80011,1
251120,884,2200870859175,80011,1
251120,884,2200870859182,80011,1
251120,884,2200870859199,80011,2
251120,884,2200870859205,80011,2
251120,884,2200870859212,80011,1
251120,884,2200870859229,80011,1
251120,884,2200871068729,80011,1
251120,884,2200871068750,80011,1
251120,884,2200871068774,80011,1
251120,884,2200871094452,80011,1
251120,884,2200871094469,80011,3
251120,884,2200871094476,80011,4
251120,884,2200871094506,80011,1
251120,884,2200871206992,80011,3
251120,884,2200871207005,80011,1
251120,884,2200871207012,80011,4
251120,884,2200871207029,80011,4
251120,884,2200871859204,80011,2
251915,884,2200868379043,80011,2
251915,884,2200868548722,80011,1
251915,884,2200868579191,80011,1
251915,884,2200869165270,80011,1
251915,884,2200869413524,80011,4
251915,884,2200869669983,80011,2
